lead_id,database_score,converted,record_created_date,conversion_date,country,job_level,in_outreach_window_cohort,converted_seniority_cohort,channel_a_connected,converted_channel_a,channel_a_total_calls,channel_a_connected_seconds,in_channel_b_cohort,channel_b_connected,converted_channel_b,channel_b_total_calls,channel_b_connected_seconds
18,72.5,0,2021-10-25,,Singapore,Manager,0,0,0,0,1,0.0,1,0,0,2,0.0
19,66.0,0,2024-05-10,,India,Director,0,0,0,0,1,0.0,0,0,0,3,0.0
20,73.5,0,2022-09-10,,Thailand,Executive,1,0,0,0,2,0.0,0,0,0,3,0.0
21,77.8,0,2019-07-21,,Thailand,Director,0,1,0,0,4,0.0,0,0,0,2,0.0
22,71.5,0,2021-06-24,,Hong Kong,C-Level,0,0,0,0,2,0.0,0,0,0,0,0.0
23,71.7,0,2019-11-18,,Other,Executive,1,0,0,0,1,0.0,0,0,0,2,0.0
24,76.4,0,2023-10-04,,Singapore,Manager,0,0,0,0,1,0.0,0,0,0,3,0.0
25,68.9,0,2023-07-15,,Malaysia,Unknown,0,0,0,0,2,0.0,0,0,0,1,0.0
26,72.5,0,2024-12-30,,Singapore,Manager,1,0,0,0,2,0.0,0,0,0,1,0.0
27,65.4,0,2021-04-17,,Singapore,Manager,1,0,0,0,0,0.0,0,0,0,3,0.0
28,77.6,0,2021-05-21,,Hong Kong,Individual Contributor,0,0,0,0,1,0.0,0,0,0,1,0.0
29,73.8,0,2021-03-26,,Singapore,C-Level,1,0,0,0,4,0.0,0,0,0,1,0.0
30,60.2,0,2021-01-01,,Singapore,Individual Contributor,1,0,0,0,1,0.0,1,1,0,2,46.1
31,83.2,1,2024-07-05,2024-07-22,Singapore,Manager,1,0,0,0,2,0.0,0,0,0,2,0.0
32,81.6,0,2019-09-09,,Philippines,Individual Contributor,0,0,0,0,2,0.0,0,0,0,3,0.0
33,80.0,0,2024-05-02,,Singapore,Manager,0,0,0,0,2,0.0,1,1,0,1,7.8
34,86.9,0,2023-07-05,,Thailand,Director,1,0,0,0,2,0.0,0,0,0,1,0.0
35,56.2,0,2023-05-21,,Philippines,Director,0,0,0,0,3,0.0,0,0,0,1,0.0
36,84.4,1,2024-03-27,2026-01-31,Australia,Manager,1,0,1,0,6,19.5,0,0,0,0,0.0
37,73.5,0,2024-09-08,,India,Unknown,0,0,0,0,2,0.0,0,0,0,3,0.0
38,75.8,0,2025-08-02,,Hong Kong,Manager,1,0,0,0,3,0.0,0,0,0,0,0.0
39,71.7,0,2025-06-21,,Australia,C-Level,0,0,0,0,2,0.0,0,0,0,0,0.0
40,76.3,1,2021-06-24,2022-09-02,Thailand,Manager,0,0,0,0,2,0.0,0,0,0,0,0.0
41,74.8,0,2021-07-03,,Thailand,Unknown,0,0,0,0,1,0.0,0,0,0,0,0.0
42,87.5,1,2022-04-24,2025-12-09,Indonesia,Individual Contributor,1,0,0,0,1,0.0,0,0,0,1,0.0
43,82.5,0,2022-12-14,,Australia,Director,1,0,0,0,2,0.0,0,0,0,1,0.0
44,64.0,0,2022-08-04,,Malaysia,Individual Contributor,1,0,0,0,1,0.0,1,1,0,4,31.6
45,68.1,0,2024-09-06,,Singapore,Manager,1,0,0,0,1,0.0,0,0,0,1,0.0
46,64.0,0,2021-03-04,,Hong Kong,Vice President,0,0,0,0,3,0.0,1,0,0,3,0.0
47,66.3,0,2023-04-10,,Hong Kong,Director,1,0,0,0,2,0.0,0,0,0,2,0.0
48,82.1,0,2022-12-05,,Hong Kong,Individual Contributor,0,0,0,0,3,0.0,1,0,0,0,0.0
49,64.4,0,2023-12-05,,Thailand,Individual Contributor,1,0,1,0,2,45.4,1,0,0,2,0.0
50,71.5,0,2022-05-16,,Malaysia,Manager,1,0,0,0,0,0.0,0,0,0,0,0.0
51,70.1,0,2021-06-29,,India,Individual Contributor,1,0,0,0,0,0.0,0,0,0,1,0.0
52,70.7,0,2022-04-08,,Malaysia,Vice President,0,1,0,0,2,0.0,1,0,0,2,0.0
53,76.6,0,2019-08-21,,Hong Kong,Unknown,0,0,0,0,0,0.0,0,0,0,1,0.0
54,61.9,0,2019-10-17,,Thailand,Unknown,0,0,0,0,1,0.0,1,1,0,3,32.1
55,70.9,0,2025-05-31,,Singapore,Manager,0,0,0,0,2,0.0,1,0,0,2,0.0
56,75.7,0,2021-11-10,,Singapore,Manager,1,0,0,0,1,0.0,0,0,0,3,0.0
57,77.1,0,2020-09-25,,Malaysia,Individual Contributor,0,0,0,0,3,0.0,1,0,0,1,0.0
58,74.8,0,2019-04-12,,Other,Individual Contributor,0,0,0,0,2,0.0,0,0,0,0,0.0
59,74.3,0,2024-06-21,,Australia,Vice President,0,0,0,0,1,0.0,0,0,0,3,0.0
60,71.2,0,2020-12-02,,Indonesia,Director,1,0,0,0,0,0.0,0,0,0,1,0.0
61,71.1,0,2022-05-21,,Malaysia,C-Level,1,0,0,0,1,0.0,0,0,0,4,0.0
62,73.7,0,2024-08-22,,Malaysia,Individual Contributor,0,0,0,0,3,0.0,0,0,0,0,0.0
63,73.9,0,2023-01-05,,Singapore,Unknown,0,0,0,0,0,0.0,0,0,0,2,0.0
64,73.7,0,2022-11-07,,Malaysia,Manager,0,1,0,0,6,0.0,0,0,0,2,0.0
65,75.0,0,2025-06-07,,Singapore,Manager,0,0,0,0,3,0.0,0,0,0,0,0.0
66,77.6,0,2025-01-16,,Australia,Manager,1,0,1,0,4,123.9,0,0,0,3,0.0
67,74.6,0,2020-10-24,,Singapore,Manager,0,0,0,0,2,0.0,1,0,0,3,0.0
68,58.6,0,2024-06-06,,Singapore,Manager,0,0,0,0,5,0.0,0,0,0,1,0.0
69,73.7,0,2021-04-13,,Singapore,Manager,0,0,0,0,4,0.0,0,0,0,2,0.0
70,74.1,0,2021-12-04,,Singapore,Individual Contributor,0,0,0,0,3,0.0,0,0,0,1,0.0
71,74.4,0,2022-09-15,,Singapore,Unknown,0,0,0,0,3,0.0,1,1,0,0,65.7
72,83.5,0,2020-10-21,,Malaysia,Individual Contributor,1,0,1,0,1,39.1,0,0,0,1,0.0
73,70.6,0,2023-06-01,,Malaysia,Manager,0,0,0,0,2,0.0,0,0,0,2,0.0
74,73.4,0,2024-05-23,,Philippines,Manager,0,0,0,0,4,0.0,0,0,0,1,0.0
75,71.8,0,2024-11-15,,Singapore,Individual Contributor,1,0,0,0,2,0.0,0,0,0,1,0.0
76,72.9,0,2025-06-01,,Indonesia,Individual Contributor,0,0,0,0,3,0.0,0,0,0,2,0.0
77,64.3,0,2024-01-12,,Australia,Manager,0,0,0,0,1,0.0,0,0,0,3,0.0
78,83.7,1,2021-08-26,2021-09-03,Hong Kong,Manager,0,0,0,0,1,0.0,0,0,0,2,0.0
79,77.9,0,2022-02-03,,Singapore,Executive,0,0,0,0,4,0.0,0,0,0,2,0.0
80,75.1,0,2023-09-27,,Australia,Manager,0,0,0,0,3,0.0,0,0,0,0,0.0
81,72.5,0,2025-11-02,,Singapore,Individual Contributor,1,0,0,0,0,0.0,0,0,0,1,0.0
82,66.8,0,2021-06-04,,Australia,Unknown,1,0,0,0,3,0.0,0,0,0,4,0.0
83,61.6,0,2021-06-29,,Hong Kong,Manager,0,0,0,0,1,0.0,0,0,0,0,0.0
84,51.2,0,2019-09-09,,Hong Kong,Manager,1,1,1,0,3,21.6,0,0,0,1,0.0
85,73.7,0,2019-08-28,,Indonesia,Manager,0,1,0,0,3,0.0,1,1,0,2,4.2
86,74.6,0,2022-06-18,,Singapore,Manager,0,0,0,0,1,0.0,1,1,0,1,73.1
87,73.2,0,2025-09-22,,Singapore,Manager,0,0,0,0,2,0.0,1,1,1,3,131.2
88,76.2,0,2023-03-08,,Thailand,Manager,1,0,1,0,0,22.7,0,0,0,1,0.0
89,62.7,0,2020-04-16,,India,Unknown,0,0,0,0,2,0.0,1,0,0,3,0.0
90,54.7,0,2020-12-19,,Other,Individual Contributor,1,0,0,0,4,0.0,1,0,0,0,0.0
91,65.5,0,2025-06-06,,Singapore,Vice President,1,1,0,0,1,0.0,0,0,0,0,0.0
92,72.1,0,2022-01-02,,Thailand,Director,1,0,0,0,0,0.0,0,0,0,1,0.0
93,85.9,1,2021-01-11,2026-01-31,Singapore,Individual Contributor,1,0,1,0,1,76.4,1,1,0,2,19.5
94,70.4,0,2020-03-25,,Hong Kong,Individual Contributor,0,0,0,0,2,0.0,1,0,0,2,0.0
95,72.0,0,2024-01-30,,Australia,Vice President,1,0,0,0,2,0.0,0,0,0,2,0.0
96,89.4,1,2021-06-06,2021-06-08,Singapore,Executive,1,0,0,0,2,0.0,0,0,0,2,0.0
97,75.0,0,2023-01-12,,Indonesia,Individual Contributor,0,1,0,0,3,0.0,0,0,0,2,0.0
98,80.8,0,2022-10-22,,Singapore,Individual Contributor,0,0,0,0,1,0.0,0,0,0,2,0.0
99,74.0,0,2025-09-22,,Singapore,Manager,0,0,0,0,1,0.0,0,0,0,3,0.0
100,70.7,0,2022-11-13,,Hong Kong,Individual Contributor,0,0,0,0,4,0.0,0,0,0,2,0.0
101,76.2,0,2021-08-31,,Malaysia,Manager,1,0,0,0,1,0.0,0,0,0,2,0.0
102,73.2,0,2020-08-11,,Indonesia,Manager,0,0,0,0,0,0.0,0,0,0,1,0.0
103,64.5,0,2025-11-16,,Australia,C-Level,1,0,0,0,1,0.0,0,0,0,0,0.0
104,81.2,0,2020-03-22,,Malaysia,Manager,0,0,0,0,1,0.0,0,0,0,3,0.0
105,76.3,0,2021-12-08,,Thailand,Individual Contributor,1,0,0,0,1,0.0,0,0,0,2,0.0
106,58.1,0,2022-09-14,,Singapore,Individual Contributor,0,0,0,0,2,0.0,0,0,0,1,0.0
107,74.4,0,2019-03-12,,Philippines,Manager,1,0,0,0,3,0.0,1,0,0,2,0.0
108,70.3,0,2021-08-20,,Malaysia,Manager,0,0,0,0,1,0.0,0,0,0,2,0.0
109,74.2,0,2021-07-29,,Malaysia,Unknown,0,0,0,0,3,0.0,0,0,0,2,0.0
110,80.1,1,2023-04-15,2024-10-22,Singapore,Manager,1,0,0,0,3,0.0,0,0,0,1,0.0
111,70.5,0,2023-11-25,,Singapore,Individual Contributor,0,0,0,0,0,0.0,1,1,1,4,22.9
112,70.6,0,2024-06-20,,India,Director,0,0,0,0,0,0.0,0,0,0,0,0.0
113,89.7,1,2020-09-24,2020-10-20,India,Unknown,0,0,0,0,1,0.0,1,0,0,1,0.0
114,72.0,0,2023-06-14,,Malaysia,Manager,0,0,0,0,1,0.0,0,0,0,2,0.0
115,65.8,0,2020-07-13,,Singapore,Individual Contributor,1,0,1,0,2,4.2,0,0,0,1,0.0
116,73.8,0,2023-03-21,,Thailand,Director,0,0,0,0,2,0.0,1,1,0,2,24.9
117,70.8,0,2019-09-10,,India,Unknown,0,0,0,0,1,0.0,0,0,0,0,0.0
118,73.9,0,2019-12-24,,Singapore,Unknown,1,0,0,1,4,0.0,0,0,0,2,0.0
119,74.0,0,2025-08-14,,Hong Kong,Manager,0,0,0,0,2,0.0,0,0,0,2,0.0
120,73.3,0,2019-12-23,,Singapore,Manager,0,0,0,0,1,0.0,0,0,0,1,0.0
121,77.3,0,2021-03-02,,Hong Kong,Director,0,0,0,0,0,0.0,1,1,0,0,17.7
122,74.7,0,2020-02-04,,Singapore,Manager,1,0,1,0,2,33.3,0,0,0,1,0.0
123,63.9,0,2022-03-28,,Malaysia,Vice President,0,1,0,0,2,0.0,0,0,0,3,0.0
124,69.8,0,2021-11-23,,Australia,Manager,1,0,0,0,2,0.0,0,0,0,1,0.0
125,81.9,0,2021-05-05,,Other,Manager,0,0,0,0,0,0.0,0,0,0,1,0.0
126,70.6,0,2021-06-09,,Australia,C-Level,0,0,0,0,1,0.0,0,0,0,1,0.0
127,72.2,0,2025-11-21,,Singapore,Vice President,0,0,0,0,3,0.0,0,0,0,0,0.0
128,81.4,1,2024-08-05,2025-02-27,Singapore,Executive,0,0,0,0,2,0.0,0,0,0,1,0.0
129,69.7,0,2023-05-26,,Singapore,Unknown,0,1,0,0,0,0.0,1,1,0,0,79.6
130,71.8,0,2024-12-11,,India,Individual Contributor,0,0,0,0,3,0.0,0,0,0,2,0.0
131,63.1,0,2022-03-29,,Philippines,Individual Contributor,0,0,0,0,1,0.0,0,0,0,0,0.0
132,90.5,1,2022-02-15,2026-01-31,Indonesia,Individual Contributor,0,0,0,0,1,0.0,0,0,0,0,0.0
133,75.7,0,2024-07-31,,Malaysia,Director,0,0,0,0,1,0.0,0,0,0,1,0.0
134,74.3,0,2023-12-13,,Hong Kong,Individual Contributor,0,0,0,0,1,0.0,0,0,0,1,0.0
135,74.0,0,2019-08-12,,Australia,Vice President,0,0,0,0,1,0.0,0,0,0,1,0.0
136,75.2,0,2024-04-28,,Singapore,Individual Contributor,0,0,0,0,3,0.0,0,0,0,0,0.0
137,81.4,1,2025-07-17,2026-01-31,Thailand,Director,0,0,0,0,3,0.0,0,0,0,0,0.0
138,77.0,1,2024-09-08,2024-09-29,Malaysia,Manager,0,0,0,0,4,0.0,1,1,0,1,11.5
139,59.5,0,2024-03-17,,Singapore,Manager,0,0,0,0,1,0.0,1,1,0,5,5.4
140,71.5,0,2022-08-10,,India,Unknown,0,0,0,0,3,0.0,1,1,0,0,7.0
141,73.9,0,2024-05-27,,Thailand,Individual Contributor,0,0,0,0,2,0.0,1,0,1,4,0.0
142,70.0,0,2024-06-08,,Other,Individual Contributor,0,0,0,0,2,0.0,0,0,0,0,0.0
143,78.9,0,2023-12-13,,Malaysia,Individual Contributor,1,0,0,0,1,0.0,0,0,0,2,0.0
144,60.4,0,2024-06-19,,Singapore,Manager,1,0,1,0,0,48.5,0,0,0,0,0.0
145,71.6,0,2021-12-14,,Other,Director,0,0,0,0,0,0.0,0,0,0,2,0.0
146,80.5,0,2022-05-18,,Singapore,C-Level,0,0,0,0,1,0.0,0,0,0,2,0.0
147,72.5,0,2025-01-10,,India,Manager,1,0,0,0,4,0.0,0,0,0,0,0.0
148,81.5,0,2020-03-02,,Indonesia,Manager,0,0,0,0,0,0.0,0,0,0,2,0.0
149,77.8,0,2021-02-23,,India,Manager,0,0,0,0,1,0.0,1,0,0,1,0.0
150,74.4,0,2023-03-15,,Other,Individual Contributor,1,0,0,0,0,0.0,0,0,0,0,0.0
151,76.0,0,2020-04-18,,Singapore,Manager,1,0,0,0,2,0.0,0,0,0,2,0.0
152,69.4,0,2025-07-05,,Malaysia,Manager,1,0,0,0,1,0.0,1,1,0,2,25.9
153,76.2,0,2025-01-17,,Thailand,Individual Contributor,0,0,0,0,2,0.0,0,0,0,3,0.0
154,78.6,0,2025-05-23,,Singapore,Director,0,0,0,0,0,0.0,0,0,0,0,0.0
155,74.2,0,2022-08-18,,Indonesia,Individual Contributor,1,0,1,0,2,35.9,0,0,0,1,0.0
156,70.2,0,2024-04-16,,Singapore,Director,0,0,0,0,2,0.0,1,0,0,1,0.0
157,70.4,0,2019-04-11,,Indonesia,Manager,0,0,0,0,1,0.0,0,0,0,1,0.0
158,67.2,0,2024-11-30,,India,Manager,0,0,0,0,0,0.0,1,1,0,0,64.1
159,75.2,0,2024-04-06,,Australia,Individual Contributor,0,0,0,0,1,0.0,0,0,0,1,0.0
160,75.3,0,2024-05-29,,Singapore,Director,1,0,1,0,3,39.0,0,0,0,2,0.0
161,49.9,0,2019-08-04,,Singapore,Manager,0,0,0,0,0,0.0,0,0,0,0,0.0
162,59.3,0,2019-05-28,,Singapore,Manager,0,0,0,0,1,0.0,0,0,0,3,0.0
163,79.5,0,2020-08-06,,Singapore,Manager,1,0,1,0,1,39.7,1,1,0,0,5.9
164,78.3,0,2021-06-03,,Singapore,Manager,0,1,0,0,1,0.0,0,0,0,3,0.0
165,86.0,1,2019-06-13,2020-06-15,Australia,Manager,1,0,0,0,1,0.0,0,0,0,3,0.0
166,70.4,0,2019-07-17,,Australia,Vice President,0,0,0,0,2,0.0,0,0,0,1,0.0
167,70.5,0,2024-11-05,,Indonesia,Unknown,0,0,0,0,1,0.0,0,0,0,1,0.0
168,71.1,0,2023-05-05,,Thailand,Manager,0,0,0,0,0,0.0,1,1,0,3,12.8
169,75.2,0,2023-12-08,,Australia,Executive,0,0,0,0,2,0.0,0,0,0,1,0.0
170,70.1,0,2022-04-28,,Australia,Manager,0,0,0,0,3,0.0,1,1,0,1,27.1
171,73.9,0,2020-08-23,,Philippines,Unknown,1,0,0,0,1,0.0,0,0,0,1,0.0
172,73.0,0,2019-06-09,,Philippines,Manager,1,0,1,0,3,18.1,0,0,0,1,0.0
173,73.0,0,2024-11-10,,Singapore,Director,1,0,0,0,0,0.0,0,0,0,1,0.0
174,71.2,0,2021-03-30,,Singapore,Unknown,0,0,0,0,3,0.0,0,0,0,1,0.0
175,89.2,1,2020-06-02,2020-06-27,India,Manager,1,0,0,0,2,0.0,0,0,0,1,0.0
176,78.0,0,2023-09-12,,Philippines,Executive,1,0,0,0,1,0.0,0,0,0,1,0.0
177,50.5,0,2021-08-21,,Thailand,Director,0,0,0,0,3,0.0,1,1,0,1,21.6
178,71.4,0,2019-04-29,,Singapore,Individual Contributor,0,0,0,0,1,0.0,0,0,0,2,0.0
179,78.3,0,2024-06-07,,Philippines,Manager,0,0,0,0,1,0.0,0,0,0,2,0.0
180,83.1,0,2021-07-04,,India,Manager,0,0,0,0,1,0.0,1,0,0,1,0.0
181,76.4,0,2023-02-16,,Singapore,Vice President,0,0,0,0,0,0.0,0,0,0,4,0.0
182,78.7,0,2025-08-03,,Singapore,Manager,1,0,0,0,1,0.0,0,0,0,0,0.0
183,72.6,0,2020-06-21,,Thailand,Individual Contributor,0,0,0,0,0,0.0,1,0,0,1,0.0
184,73.3,0,2021-12-09,,Singapore,Vice President,1,0,0,0,3,0.0,0,0,0,0,0.0
185,73.4,0,2022-10-05,,Singapore,Manager,0,0,0,0,2,0.0,1,0,0,0,0.0
186,69.3,0,2023-08-10,,Hong Kong,Manager,0,0,0,0,1,0.0,0,0,0,1,0.0
187,68.7,0,2022-03-07,,Hong Kong,C-Level,0,0,0,0,2,0.0,0,0,0,4,0.0
188,75.7,0,2022-09-09,,India,Manager,0,0,0,0,3,0.0,0,0,0,1,0.0
189,78.6,0,2022-12-31,,Indonesia,Vice President,0,0,0,0,0,0.0,0,0,0,2,0.0
190,68.6,0,2024-04-04,,Singapore,Director,0,0,0,0,2,0.0,0,0,0,0,0.0
191,54.9,0,2024-04-05,,Singapore,Individual Contributor,0,0,0,0,1,0.0,0,0,0,0,0.0
192,72.3,0,2025-05-30,,Singapore,Director,1,0,1,0,3,6.3,0,0,0,2,0.0
193,61.2,0,2023-05-26,,Singapore,Vice President,0,0,0,0,1,0.0,1,1,1,2,320.5
194,72.9,0,2025-12-16,,Thailand,Unknown,0,1,0,0,0,0.0,0,0,0,0,0.0
195,72.5,0,2021-03-25,,Singapore,Individual Contributor,0,0,0,0,3,0.0,0,0,0,2,0.0
196,50.3,0,2021-05-31,,Singapore,Individual Contributor,0,0,0,0,1,0.0,1,0,0,1,0.0
197,73.1,0,2022-03-11,,Australia,Individual Contributor,0,0,0,0,2,0.0,0,0,0,3,0.0
198,70.7,0,2024-09-01,,Malaysia,Individual Contributor,1,0,0,0,4,0.0,1,1,0,3,25.2
199,82.3,0,2020-05-03,,Singapore,C-Level,0,0,0,0,0,0.0,0,0,0,1,0.0
200,70.4,0,2023-10-16,,Australia,Director,0,0,0,0,1,0.0,0,0,0,1,0.0
201,74.6,0,2020-04-08,,Malaysia,Manager,0,0,0,0,3,0.0,0,0,0,0,0.0
202,79.9,0,2024-11-01,,Hong Kong,Manager,0,0,0,0,3,0.0,0,0,0,1,0.0
203,70.1,0,2022-07-18,,Hong Kong,Manager,1,0,1,0,3,28.6,0,0,0,0,0.0
204,79.9,0,2025-07-03,,Singapore,Manager,0,0,0,0,3,0.0,0,0,0,2,0.0
205,79.0,0,2021-05-30,,Philippines,Manager,1,0,0,0,1,0.0,0,0,0,1,0.0
206,86.4,1,2021-08-22,2024-02-12,Singapore,Individual Contributor,0,0,0,0,4,0.0,0,0,0,1,0.0
207,87.6,1,2024-12-26,2026-01-31,Malaysia,Manager,1,0,0,0,4,0.0,0,0,0,1,0.0
208,83.1,0,2022-06-09,,Indonesia,Manager,1,0,0,0,2,0.0,0,0,0,0,0.0
209,70.0,0,2023-05-16,,Indonesia,Individual Contributor,0,0,0,0,3,0.0,0,0,0,3,0.0
210,70.1,0,2022-05-05,,Hong Kong,Unknown,1,0,0,0,3,0.0,0,0,0,1,0.0
211,78.2,1,2019-02-13,2021-06-08,Malaysia,Vice President,1,0,0,0,1,0.0,1,1,0,0,25.5
212,63.8,0,2023-10-03,,Thailand,Individual Contributor,0,0,0,0,2,0.0,0,0,0,1,0.0
213,73.9,0,2025-10-23,,Hong Kong,Unknown,1,1,1,0,2,17.2,1,0,0,1,0.0
214,81.9,0,2024-04-02,,Singapore,Individual Contributor,0,0,0,0,3,0.0,0,0,0,3,0.0
215,56.1,0,2024-04-12,,Hong Kong,C-Level,0,0,0,0,0,0.0,0,0,0,1,0.0
216,75.3,0,2021-03-18,,Thailand,Individual Contributor,1,0,1,0,2,1.6,0,0,0,0,0.0
217,74.8,1,2021-01-17,2023-11-11,Singapore,Individual Contributor,0,0,0,0,2,0.0,0,0,0,1,0.0
218,76.1,0,2020-07-01,,Malaysia,Manager,0,0,0,0,1,0.0,1,0,0,4,0.0
219,72.7,0,2021-09-24,,Hong Kong,Unknown,0,0,0,0,0,0.0,0,0,0,2,0.0
220,84.7,0,2019-08-08,,Other,Manager,0,0,0,0,1,0.0,1,0,0,1,0.0
221,66.5,0,2025-06-29,,Indonesia,Individual Contributor,1,0,0,0,1,0.0,0,0,0,2,0.0
222,73.5,0,2023-06-06,,Thailand,Manager,1,0,0,0,3,0.0,0,0,0,2,0.0
223,70.1,0,2022-01-14,,Singapore,Manager,0,0,0,0,3,0.0,0,0,0,1,0.0
224,83.9,1,2023-04-08,2026-01-31,India,Manager,0,0,0,0,3,0.0,0,0,0,0,0.0
225,63.8,0,2021-01-14,,Singapore,Vice President,1,0,0,0,0,0.0,1,0,0,1,0.0
226,77.8,0,2020-02-18,,Malaysia,Manager,0,0,0,0,2,0.0,0,0,0,1,0.0
227,76.4,0,2023-04-21,,Singapore,Individual Contributor,0,0,0,0,1,0.0,0,0,0,2,0.0
228,72.4,0,2023-08-28,,Singapore,Vice President,0,0,0,0,1,0.0,0,0,0,2,0.0
229,76.6,0,2025-12-19,,Australia,Director,0,0,0,0,0,0.0,0,0,0,2,0.0
230,72.1,0,2024-06-16,,Singapore,Manager,0,0,0,0,3,0.0,1,0,0,0,0.0
231,81.1,0,2019-07-08,,Indonesia,Director,1,0,0,0,0,0.0,0,0,0,2,0.0
232,77.5,0,2021-02-25,,Hong Kong,Manager,0,0,0,0,0,0.0,0,0,0,3,0.0
233,65.1,0,2019-11-29,,Singapore,Unknown,0,0,0,0,1,0.0,0,0,0,1,0.0
234,82.6,1,2024-06-25,2025-11-08,Australia,Vice President,1,0,1,0,3,2.6,0,0,0,1,0.0
235,74.5,0,2020-08-09,,Singapore,Manager,0,1,0,0,2,0.0,1,1,0,1,81.3
236,71.4,0,2019-11-09,,Australia,Manager,0,0,0,0,2,0.0,1,1,1,3,140.9
237,78.0,0,2019-09-06,,Hong Kong,Manager,0,0,0,0,2,0.0,0,0,0,0,0.0
238,73.8,0,2021-06-18,,Singapore,Individual Contributor,0,0,0,0,2,0.0,1,0,0,0,0.0
239,67.0,0,2019-03-28,,Singapore,Unknown,1,0,0,0,3,0.0,0,0,0,2,0.0
240,71.5,0,2022-05-06,,Thailand,Vice President,1,0,1,0,3,84.4,0,0,0,2,0.0
241,71.0,0,2022-09-08,,Singapore,Manager,0,0,0,0,5,0.0,0,0,0,0,0.0
242,79.8,1,2025-02-23,2025-12-29,Hong Kong,C-Level,1,0,0,0,3,0.0,0,0,0,1,0.0
243,76.4,0,2020-03-29,,Australia,Individual Contributor,0,0,0,0,2,0.0,0,0,0,1,0.0
244,84.4,1,2019-04-20,2020-09-25,Thailand,C-Level,0,0,0,0,0,0.0,0,0,0,0,0.0
245,88.3,1,2019-04-14,2019-05-08,Singapore,Manager,1,0,0,0,2,0.0,1,0,0,2,0.0
246,80.9,1,2022-11-28,2023-03-17,Australia,Manager,0,0,0,0,1,0.0,0,0,0,1,0.0
247,90.3,1,2021-09-15,2022-05-31,Malaysia,Manager,1,0,0,0,0,0.0,0,0,0,3,0.0
248,75.6,0,2025-02-20,,Singapore,Individual Contributor,0,0,0,0,2,0.0,1,0,0,1,0.0
249,76.3,0,2019-05-01,,India,Manager,1,0,1,1,3,486.9,0,0,0,3,0.0
250,73.3,0,2023-11-29,,Singapore,Director,0,0,0,0,2,0.0,0,0,0,1,0.0
251,74.3,0,2024-03-12,,Singapore,Director,0,0,0,0,1,0.0,0,0,0,0,0.0
252,74.0,0,2021-04-23,,Australia,Manager,1,0,0,1,1,0.0,1,0,0,3,0.0
253,68.4,0,2023-02-01,,Singapore,Director,0,0,0,0,2,0.0,0,0,0,3,0.0
254,55.7,0,2025-09-30,,Singapore,Manager,0,0,0,0,1,0.0,0,0,0,5,0.0
255,75.4,0,2024-06-18,,Indonesia,Individual Contributor,0,0,0,0,0,0.0,0,0,0,1,0.0
256,71.9,0,2025-01-05,,Australia,C-Level,0,0,0,0,0,0.0,0,0,0,0,0.0
257,73.8,0,2019-09-03,,Philippines,Director,1,0,0,0,1,0.0,1,0,1,2,0.0
258,53.2,0,2022-09-22,,Philippines,Manager,1,0,1,0,1,1.0,0,0,0,0,0.0
259,73.0,0,2023-10-10,,Indonesia,Manager,0,0,0,0,3,0.0,0,0,0,3,0.0
260,55.8,0,2022-10-28,,Malaysia,Manager,0,0,0,0,0,0.0,0,0,0,2,0.0
